operationalDate,transferPoint,ownershipPercentage
2017-09-30,SANTANA-OMO,0.35
2017-09-30,SANTIAGO-CENIT,1
2017-10-31,CAÑADA_NORTE_OAM,0.63
2017-10-31,CAÑO_LIMON_OCLC,1
2017-10-31,CHICHIMENE-CENIT,0.98
2017-10-31,CICUCO-AYA,1
2017-10-31,CUPIAGUA-OCSA,0.99
2017-10-31,CUSIANA-OCSA,0.79
2017-10-31,DINA-TENAY,0.92
2017-10-31,ESPINAL-OAM,0.3
2017-10-31,FLOREÑA_OBC,0.73
2017-10-31,GUADUAS-OAM,0.04
2017-10-31,GUANDO-OAM,0.75
2017-10-31,HOCHA_OAM,0.05
2017-10-31,JAGUAR-SANTIAGO,0.35
2017-10-31,MB_GRB_18,0.33
2017-10-31,MELC-NARE,0.49
2017-10-31,OCELOTE-ODL,0.08
2017-10-31,PALAGUA-VAS,0.62
2017-10-31,QUIFA-ODL,0.45
2017-10-31,RUBIALES-ODL,0.42
2017-10-31,SANTANA-OMO,0.34
2017-10-31,SANTIAGO-CENIT,1
2017-11-30,CAÑADA_NORTE_OAM,0.64
2017-11-30,CAÑO_LIMON_OCLC,0.24
2017-11-30,CHICHIMENE-CENIT,0.98
2017-11-30,CICUCO-AYA,1
2017-11-30,CUPIAGUA-OCSA,0.9
2017-11-30,CUSIANA-OCSA,0.95
2017-11-30,DINA-TENAY,0.92
2017-11-30,ESPINAL-OAM,0.3
2017-11-30,FLOREÑA_OBC,0.72
2017-11-30,GUADUAS-OAM,0.05
2017-11-30,GUANDO-OAM,0.76
2017-11-30,HOCHA_OAM,0.05
2017-11-30,JAGUAR-SANTIAGO,0.35
2017-11-30,MB_GRB_18,0.34
2017-11-30,MELC-NARE,0.5
2017-11-30,OCELOTE-ODL,0.12
2017-11-30,ORITO-PR-TR,0.51
2017-11-30,PALAGUA-VAS,0.62
2017-11-30,PERENCO-OBC,0.55
2017-11-30,QUIFA-ODL,0.45
2017-11-30,RUBIALES-ODL,0.42
2017-11-30,SANTANA-OMO,0.3
2017-11-30,SANTIAGO-CENIT,1
2017-12-31,CAÑADA_NORTE_OAM,0.61
2017-12-31,CAÑO_LIMON_OCLC,0.16
2017-12-31,CHICHIMENE-CENIT,0.98
2017-12-31,CICUCO-AYA,1
2017-12-31,CUPIAGUA-OCSA,0.91
2017-12-31,CUSIANA-OCSA,0.95
2017-12-31,DINA-TENAY,0.91
2017-12-31,ESPINAL-OAM,0.27
2017-12-31,FLOREÑA_OBC,0.78
2017-12-31,GUADUAS-OAM,0.01
2017-12-31,GUANDO-OAM,0.75
2017-12-31,HOCHA_OAM,0.05
2017-12-31,JAGUAR-SANTIAGO,0.32
2017-12-31,MB_GRB_18,0.31
2017-12-31,MELC-NARE,0.45
2017-12-31,OCELOTE-ODL,0.15
2017-12-31,ORITO-PR-TR,0.72
2017-12-31,PALAGUA-VAS,0.62
2017-12-31,PERENCO-OBC,0.54
2017-12-31,QUIFA-ODL,0.46
2017-12-31,RUBIALES-ODL,0.42
2017-12-31,SANTANA-OMO,0.32
2017-12-31,SANTIAGO-CENIT,1
2018-01-31,CAÑADA_NORTE_OAM,0.66
2018-01-31,CAÑO_LIMON_OCLC,0.69
2018-01-31,CHICHIMENE-CENIT,0.98
2018-01-31,CICUCO-AYA,1
2018-01-31,CUPIAGUA-OCSA,0.93
2018-01-31,CUSIANA-OCSA,0.96
2018-01-31,DINA-TENAY,0.91
2018-01-31,ESPINAL-OAM,0.28
2018-01-31,FLOREÑA_OBC,0.79
2018-01-31,GUADUAS-OAM,0.01
2018-01-31,GUANDO-OAM,0.75
2018-01-31,HOCHA_OAM,0.05
2018-01-31,JAGUAR-SANTIAGO,0.33
2018-01-31,MB_GRB_18,0.33
2018-01-31,MELC-NARE,0.53
2018-01-31,OCELOTE-ODL,0.08
2018-01-31,ORITO-PR-TR,0.29
2018-01-31,PALAGUA-VAS,0.62
2018-01-31,PERENCO-OBC,0.74
2018-01-31,QUIFA-ODL,0.47
2018-01-31,RUBIALES-ODL,0.42
2018-01-31,SANTANA-OMO,0.31
2018-01-31,SANTIAGO-CENIT,1
2018-02-28,CAÑADA_NORTE_OAM,0.63
2018-02-28,CAÑO_LIMON_OCLC,1
2018-02-28,CICUCO-AYA,1
2018-02-28,CUPIAGUA-OCSA,0.92
2018-02-28,CUSIANA-OCSA,0.86
2018-02-28,DINA-TENAY,0.91
2018-02-28,ESPINAL-OAM,0.32
2018-02-28,FLOREÑA_OBC,0.81
2018-02-28,GUADUAS-OAM,0.01
2018-02-28,GUANDO-OAM,0.75
2018-02-28,HOCHA_OAM,0.05
2018-02-28,JAGUAR-SANTIAGO,0.31
2018-02-28,MB_GRB_18,0.36
2018-02-28,MELC-NARE,0.5
2018-02-28,OCELOTE-ODL,0.08
2018-02-28,PALAGUA-VAS,0.62
2018-02-28,QUIFA-ODL,0.48
2018-02-28,RUBIALES-ODL,0.41
2018-02-28,SANTANA-OMO,0.31
2018-02-28,SANTIAGO-CENIT,1
2018-03-31,CAÑADA_NORTE_OAM,0.64
2018-03-31,CAÑO_LIMON_OCLC,1
2018-03-31,CICUCO-AYA,1
2018-03-31,CUPIAGUA-OCSA,0.92
2018-03-31,CUSIANA-OCSA,0.98
2018-03-31,DINA-TENAY,0.92
2018-03-31,ESPINAL-OAM,0.35
2018-03-31,FLOREÑA_OBC,0.85
2018-03-31,GUADUAS-OAM,0.01
2018-03-31,GUANDO-OAM,0.73
2018-03-31,HOCHA_OAM,0.05
2018-03-31,JAGUAR-SANTIAGO,0.32
2018-03-31,MB_GRB_18,0.32
2018-03-31,MELC-NARE,0.45
2018-03-31,OCELOTE-ODL,0.08
2018-03-31,PALAGUA-VAS,0.62
2018-03-31,QUIFA-ODL,0.49
2018-03-31,RUBIALES-ODL,0.41
2018-03-31,SANTANA-OMO,0.31
2018-03-31,SANTIAGO-CENIT,1
2018-04-30,CAÑADA_NORTE_OAM,0.59
2018-04-30,CAÑO_LIMON_OCLC,1
2018-04-30,CICUCO-AYA,1
2018-04-30,CUPIAGUA-OCSA,0.93
2018-04-30,CUSIANA-OCSA,0.96
2018-04-30,DINA-TENAY,0.91
2018-04-30,ESPINAL-OAM,0.33
2018-04-30,FLOREÑA_OBC,0.86
2018-04-30,GUADUAS-OAM,0.01
2018-04-30,GUANDO-OAM,0.75
2018-04-30,HOCHA_OAM,0.05
2018-04-30,JAGUAR-SANTIAGO,0.34
2018-04-30,MB_GRB_18,0.3
2018-04-30,MELC-NARE,0.52
2018-04-30,OCELOTE-ODL,0.08
2018-04-30,PALAGUA-VAS,0.62
2018-04-30,QUIFA-ODL,0.48
2018-04-30,RUBIALES-ODL,0.42
2018-04-30,SANTANA-OMO,0.3
2018-04-30,SANTIAGO-CENIT,1
2018-05-31,CAÑADA_NORTE_OAM,0.64
2018-05-31,CAÑO_LIMON_OCLC,1
2018-05-31,CICUCO-AYA,1
2018-05-31,CUPIAGUA-OCSA,0.92
2018-05-31,CUSIANA-OCSA,0.99
2018-05-31,DINA-TENAY,0.93
2018-05-31,ESPINAL-OAM,0.37
2018-05-31,FLOREÑA_OBC,0.91
2018-05-31,GUADUAS-OAM,0.01
2018-05-31,GUANDO-OAM,0.75
2018-05-31,HOCHA_OAM,0.06
2018-05-31,JAGUAR-SANTIAGO,0.34
2018-05-31,MB_GRB_18,0.41
2018-05-31,MELC-NARE,0.53
2018-05-31,OCELOTE-ODL,0.08
2018-05-31,PALAGUA-VAS,0.61
2018-05-31,QUIFA-ODL,0.49
2018-05-31,RUBIALES-ODL,0.42
2018-05-31,SANTANA-OMO,0.28
2018-05-31,SANTIAGO-CENIT,1
2018-06-30,CAÑADA_NORTE_OAM,0.64
2018-06-30,CAÑO_LIMON_OCLC,1
2018-06-30,CICUCO-AYA,1
2018-06-30,CUPIAGUA-OCSA,0.92
2018-06-30,CUSIANA-OCSA,0.95
2018-06-30,DINA-TENAY,0.93
2018-06-30,ESPINAL-OAM,0.31
2018-06-30,FLOREÑA_OBC,0.91
2018-06-30,GUADUAS-OAM,0.01
2018-06-30,GUANDO-OAM,0.74
2018-06-30,HOCHA_OAM,0.04
2018-06-30,JAGUAR-SANTIAGO,0.35
2018-06-30,MB_GRB_18,0.36
2018-06-30,MELC-NARE,0.48
2018-06-30,OCELOTE-ODL,0.08
2018-06-30,ORITO-PR-TR,0.2
2018-06-30,PALAGUA-VAS,0.61
2018-06-30,QUIFA-ODL,0.51
2018-06-30,RUBIALES-ODL,0.42
2018-06-30,SANTANA-OMO,0.33
2018-06-30,SANTIAGO-CENIT,1
2018-07-31,CAÑO_LIMON_OCLC,0.27
2018-07-31,CICUCO-AYA,0.2
2018-07-31,CUPIAGUA-OCSA,0.93
2018-07-31,CUSIANA-OCSA,0.94
2018-07-31,DINA-TENAY,0.92
2018-07-31,ESPINAL-OAM,0.3
2018-07-31,FLOREÑA_OBC,0.97
2018-07-31,GUADUAS-OAM,0
2018-07-31,GUANDO-OAM,0.69
2018-07-31,JAGUAR-SANTIAGO,0.35
2018-07-31,MB_GRB_18,0.32
2018-07-31,MELC-NARE,0.54
2018-07-31,OCELOTE-ODL,0.08
2018-07-31,ORITO-PR-TR,0.34
2018-07-31,PALAGUA-VAS,0.62
2018-07-31,PERENCO-OBC,1
2018-07-31,QUIFA-ODL,0.51
2018-07-31,RUBIALES-ODL,0.43
2018-07-31,SANTANA-OMO,0.31
2018-07-31,SANTIAGO-CENIT,0.33
2018-08-31,CAÑO_LIMON_OCLC,0.17
2018-08-31,CICUCO-AYA,0.51
2018-08-31,CUPIAGUA-OCSA,0.97
2018-08-31,CUSIANA-OCSA,0.92
2018-08-31,DINA-TENAY,0.92
2018-08-31,ESPINAL-OAM,0.29
2018-08-31,FLOREÑA_OBC,0.95
2018-08-31,GUADUAS-OAM,0.01
2018-08-31,GUANDO-OAM,0.74
2018-08-31,JAGUAR-SANTIAGO,0.34
2018-08-31,MB_GRB_18,0.33
2018-08-31,MELC-NARE,0.49
2018-08-31,OCELOTE-ODL,0.08
2018-08-31,PALAGUA-VAS,0.61
2018-08-31,PERENCO-OBC,1
2018-08-31,QUIFA-ODL,0.51
2018-08-31,RUBIALES-ODL,0.43
2018-08-31,SANTANA-OMO,0.31
2018-08-31,SANTIAGO-CENIT,0.32
2018-09-30,CAÑO_LIMON_OCLC,0.99
2018-09-30,CICUCO-AYA,0.2
2018-09-30,CUPIAGUA-OCSA,0.92
2018-09-30,CUSIANA-OCSA,0.98
2018-09-30,DINA-TENAY,0.92
2018-09-30,ESPINAL-OAM,0.3
2018-09-30,FLOREÑA_OBC,0.95
2018-09-30,GUADUAS-OAM,0
2018-09-30,GUANDO-OAM,0.75
2018-09-30,JAGUAR-SANTIAGO,0.37
2018-09-30,MB_GRB_18,0.34
2018-09-30,MELC-NARE,0.52
2018-09-30,OCELOTE-ODL,0.08
2018-09-30,PALAGUA-VAS,0.61
2018-09-30,PERENCO-OBC,1
2018-09-30,QUIFA-ODL,0.51
2018-09-30,RUBIALES-ODL,0.42
2018-09-30,SANTANA-OMO,0.33
2018-09-30,SANTIAGO-CENIT,0.32
2018-10-31,CAÑO_LIMON_OCLC,1
2018-10-31,CICUCO-AYA,0.2
2018-10-31,CUPIAGUA-OCSA,0.91
2018-10-31,CUSIANA-OCSA,0.98
2018-10-31,DINA-TENAY,0.93
2018-10-31,ESPINAL-OAM,0.29
2018-10-31,FLOREÑA_OBC,0.97
2018-10-31,GUADUAS-OAM,0
2018-10-31,GUANDO-OAM,0.75
2018-10-31,JAGUAR-SANTIAGO,0.34
2018-10-31,MB_GRB_18,0.35
2018-10-31,MELC-NARE,0.5
2018-10-31,OCELOTE-ODL,0.08
2018-10-31,PALAGUA-VAS,0.63
2018-10-31,PERENCO-OBC,1
2018-10-31,QUIFA-ODL,0.51
2018-10-31,RUBIALES-ODL,0.42
2018-10-31,SANTANA-OMO,0.3
2018-10-31,SANTIAGO-CENIT,0.32
2018-11-30,CAÑO_LIMON_OCLC,1
2018-11-30,CICUCO-AYA,0.2
2018-11-30,CUPIAGUA-OCSA,0.91
2018-11-30,CUSIANA-OCSA,0.98
2018-11-30,DINA-TENAY,0.93
2018-11-30,ESPINAL-OAM,0.28
2018-11-30,FLOREÑA_OBC,1
2018-11-30,GUADUAS-OAM,0
2018-11-30,GUANDO-OAM,0.75
2018-11-30,JAGUAR-SANTIAGO,0.34
2018-11-30,MB_GRB_18,0.33
2018-11-30,MELC-NARE,0.49
2018-11-30,OCELOTE-ODL,0.08
